Date,Close,Daily_Return
2012-10-01,1444.49,0.0
2012-10-02,1445.75,0.0008722801819327497
2012-10-03,1450.99,0.0036244163928755846
2012-10-04,1461.4,0.007174411953218218
2012-10-05,1460.93,-0.00032160941562886514
2012-10-08,1455.88,-0.0034567022376157386
2012-10-09,1441.48,-0.009890925076242563
2012-10-10,1432.56,-0.006188084468740529
2012-10-11,1432.84,0.0001954542916178248
2012-10-12,1428.59,-0.002966137182099926
2012-10-15,1440.13,0.00807789498736522
2012-10-16,1454.92,0.010269906189024569
2012-10-17,1460.91,0.004117064855799546
2012-10-18,1457.34,-0.002443682362363253
2012-10-19,1433.19,-0.01657128741405567
2012-10-22,1433.82,0.0004395788416049484
2012-10-23,1413.11,-0.014443932990194086
2012-10-24,1408.75,-0.0030853932107195448
2012-10-25,1412.97,0.002995563442768523
2012-10-26,1411.94,-0.0007289609828942112
2012-10-31,1412.16,0.00015581398642994237
2012-11-01,1427.59,0.010926523906639396
2012-11-02,1414.2,-0.00937944367780652
2012-11-05,1417.26,0.0021637675010606205
2012-11-06,1428.39,0.00785318149104608
2012-11-07,1394.53,-0.023705010536338222
2012-11-08,1377.51,-0.012204828867073525
2012-11-09,1379.85,0.0016987172506914838
2012-11-12,1380.03,0.0001304489618436655
2012-11-13,1374.53,-0.003985420606798407
2012-11-14,1355.49,-0.013852007595323457
2012-11-15,1353.33,-0.0015935196866078138
2012-11-16,1359.88,0.004839913398801521
2012-11-19,1386.89,0.01986204665117519
2012-11-20,1387.81,0.0006633547000842732
2012-11-21,1391.03,0.0023202023331725385
2012-11-23,1409.15,0.01302631862720438
2012-11-26,1406.29,-0.0020295923074195032
2012-11-27,1398.94,-0.005226518001265723
2012-11-28,1409.93,0.007855948074971142
2012-11-29,1415.95,0.004269715517791761
2012-11-30,1416.18,0.000162435114234194
2012-12-03,1409.46,-0.0047451595136212
2012-12-04,1407.05,-0.0017098747037873618
2012-12-05,1409.28,0.0015848761593404426
2012-12-06,1413.94,0.003306653042688623
2012-12-07,1418.07,0.002920916021896147
2012-12-10,1418.55,0.00033848822695636827
2012-12-11,1427.84,0.0065489408198511345
