Date,Close
2/20/2015 16:00:00,12.89
2/23/2015 16:00:00,12.71
2/24/2015 16:00:00,12.58
2/25/2015 16:00:00,12.78
2/26/2015 16:00:00,12.76
2/27/2015 16:00:00,13.02
3/2/2015 16:00:00,12.76
3/3/2015 16:00:00,12.51
3/4/2015 16:00:00,12.15
3/5/2015 16:00:00,12.19
3/6/2015 16:00:00,11.34
3/9/2015 16:00:00,10.8
3/10/2015 16:00:00,10.68
3/11/2015 16:00:00,10.89
3/12/2015 16:00:00,10.66
3/13/2015 16:00:00,10.6
3/16/2015 16:00:00,10.56
3/17/2015 16:00:00,10.33
3/18/2015 16:00:00,10.97
3/19/2015 16:00:00,10.89
3/20/2015 16:00:00,11.1
3/23/2015 16:00:00,11.4
3/24/2015 16:00:00,11.37
3/25/2015 16:00:00,11.36
3/26/2015 16:00:00,11.29
3/27/2015 16:00:00,11.29
3/30/2015 16:00:00,11.14
3/31/2015 16:00:00,10.96
4/1/2015 16:00:00,12.01
4/2/2015 16:00:00,11.88
4/6/2015 16:00:00,12.61
4/7/2015 16:00:00,12.36
4/8/2015 16:00:00,12.32
4/9/2015 16:00:00,12.42
4/10/2015 16:00:00,12.68
4/13/2015 16:00:00,12.36
4/14/2015 16:00:00,12.51
4/15/2015 16:00:00,12.85
4/16/2015 16:00:00,12.65
4/17/2015 16:00:00,12.76
4/20/2015 16:00:00,12.75
4/21/2015 16:00:00,12.81
4/22/2015 16:00:00,12.37
4/23/2015 16:00:00,12.64
4/24/2015 16:00:00,12.52
4/27/2015 16:00:00,12.8
4/28/2015 16:00:00,13.3
4/29/2015 16:00:00,13.51
4/30/2015 16:00:00,13.02
5/1/2015 16:00:00,13.07
5/4/2015 16:00:00,13.17
5/5/2015 16:00:00,13.11
5/6/2015 16:00:00,12.63
5/7/2015 16:00:00,12.69
5/8/2015 16:00:00,12.75
5/11/2015 16:00:00,12.78
5/12/2015 16:00:00,12.83
5/13/2015 16:00:00,13.25
5/14/2015 16:00:00,13.18
5/15/2015 16:00:00,13.12
5/18/2015 16:00:00,13.19
5/19/2015 16:00:00,12.47
5/20/2015 16:00:00,12.43
5/21/2015 16:00:00,12.44
