Date,Close
2/20/2015 16:00:00,50.48
2/23/2015 16:00:00,51.65
2/24/2015 16:00:00,51.38
2/25/2015 16:00:00,52.04
2/26/2015 16:00:00,52.92
2/27/2015 16:00:00,52.75
3/2/2015 16:00:00,52.39
3/3/2015 16:00:00,51.74
3/4/2015 16:00:00,50.99
3/5/2015 16:00:00,51.03
3/6/2015 16:00:00,48.84
3/9/2015 16:00:00,47.82
3/10/2015 16:00:00,46.65
3/11/2015 16:00:00,48.6
3/12/2015 16:00:00,47.25
3/13/2015 16:00:00,47.47
3/16/2015 16:00:00,47.63
3/17/2015 16:00:00,48.12
3/18/2015 16:00:00,49.41
3/19/2015 16:00:00,49.22
3/20/2015 16:00:00,51.27
3/23/2015 16:00:00,51.88
3/24/2015 16:00:00,50.81
3/25/2015 16:00:00,50.11
3/26/2015 16:00:00,49.59
3/27/2015 16:00:00,47.98
3/30/2015 16:00:00,47.91
3/31/2015 16:00:00,48.54
4/1/2015 16:00:00,49.8
4/2/2015 16:00:00,49.62
4/6/2015 16:00:00,51.38
4/7/2015 16:00:00,49.87
4/8/2015 16:00:00,49.13
4/9/2015 16:00:00,49.03
4/10/2015 16:00:00,49.63
4/13/2015 16:00:00,49.1
4/14/2015 16:00:00,48.71
4/15/2015 16:00:00,48.99
4/16/2015 16:00:00,48.71
4/17/2015 16:00:00,49.17
4/20/2015 16:00:00,50.05
4/21/2015 16:00:00,51.16
4/22/2015 16:00:00,49.41
4/23/2015 16:00:00,50.31
4/24/2015 16:00:00,49.24
4/27/2015 16:00:00,49.67
4/28/2015 16:00:00,50.94
4/29/2015 16:00:00,51.41
4/30/2015 16:00:00,51.83
5/1/2015 16:00:00,53.37
5/4/2015 16:00:00,53.87
5/5/2015 16:00:00,54.26
5/6/2015 16:00:00,52.85
5/7/2015 16:00:00,53.77
5/8/2015 16:00:00,53.3
5/11/2015 16:00:00,53.26
5/12/2015 16:00:00,53.81
5/13/2015 16:00:00,54.63
5/14/2015 16:00:00,54.79
5/15/2015 16:00:00,54.38
5/18/2015 16:00:00,54.5
5/19/2015 16:00:00,53.23
5/20/2015 16:00:00,53.91
5/21/2015 16:00:00,52.73
5/22/2015 16:00:00,52.62
5/26/2015 16:00:00,51.37
5/27/2015 16:00:00,51.45
5/28/2015 16:00:00,51.81
5/29/2015 16:00:00,51.48
6/1/2015 16:00:00,51.09
6/2/2015 16:00:00,51.77
6/3/2015 16:00:00,51.17
6/4/2015 16:00:00,50.49
6/5/2015 16:00:00,49.97
6/8/2015 16:00:00,49.61
6/9/2015 16:00:00,48.33
6/10/2015 16:00:00,48.3
6/11/2015 16:00:00,48.18
6/12/2015 16:00:00,47.69
6/15/2015 16:00:00,48.34
6/16/2015 16:00:00,48.4
6/17/2015 16:00:00,49.76
6/18/2015 16:00:00,49.98
6/19/2015 16:00:00,48.95
6/22/2015 16:00:00,48.45
6/23/2015 16:00:00,48.52
6/24/2015 16:00:00,48.93
6/25/2015 16:00:00,48.64
6/26/2015 16:00:00,48.62
6/29/2015 16:00:00,48.03
6/30/2015 16:00:00,47.65
7/1/2015 16:00:00,46.86
7/2/2015 16:00:00,47.49
7/6/2015 16:00:00,48.06
7/7/2015 16:00:00,46.62
7/8/2015 16:00:00,46.38
7/9/2015 16:00:00,46.05
7/10/2015 16:00:00,45.71
7/13/2015 16:00:00,45.5
7/14/2015 16:00:00,45.3
7/15/2015 16:00:00,44.43
7/16/2015 16:00:00,44.52
7/17/2015 16:00:00,42.96
7/20/2015 16:00:00,39.64
7/21/2015 16:00:00,40.43
7/22/2015 16:00:00,40.31
7/23/2015 16:00:00,39.38
7/24/2015 16:00:00,40.79
7/27/2015 16:00:00,40.73
7/28/2015 16:00:00,40.86
7/29/2015 16:00:00,40.91
7/30/2015 16:00:00,40.25
7/31/2015 16:00:00,40.54
8/3/2015 16:00:00,39.63
8/4/2015 16:00:00,40.03
8/5/2015 16:00:00,39.44
8/6/2015 16:00:00,40.3
8/7/2015 16:00:00,40.63
8/10/2015 16:00:00,43.06
